Aircraft Registration,Trax,Non-Routine/ Complaint/ WO Number,.pdf Document Name,Reported Date,ATA,Sub-ATA,Section,To Section,Station,Plus,mm/ Inch,To Station,Plus,mm/ Inch,Stringer,Plus,mm/ Inch,To Stringer,Plus,mm/ Inch,Water Line,To Water Line,Buttock Line,To Buttock Line,Damage Type,Component,Component,In Limits,In Limits Acc. Maint Data,Repair Performed,Repair Type,Repair Maintenance Data,Dimension:,mm/ Inch,Dimension,mm/ Inch,,mm/ Inch,Blend Repair,Blend Width,mm/ Inch,Blend Length,mm/ Inch,Blend Remaining Thickness,mm/ Inch,"Repair Status (A,B,C, N/A)",Major Repair,
,Defect Report Number,(MRO's reference number),,,,,,,,,,,,,,,,,,,,,,,,PN,SN,IN/OUT,,Y/N,,,(L) ,,(W) ,,Dimension,,Y/N,,,,,,,,Y/N,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Y),,,,,,,,,,,
PH-HSG,,5762054-1 (Panel 532EB),WO 5762054,8/3/2022,57,20,WING LH,,,,,,,,,,,,,,,,,,CORROSION,,,OUT,,Y,BLEND REPAIR,SRM 57-20-01 Repair 1,,,,,,,Y,,mm,,mm,4.9,mm,CAT-A,N,
PH-HSG,,5762054-1 (Panel 532FB),WO 5762054,8/3/2022,57,20,WING LH,,,,,,,,,,,,,,,,,,CORROSION,,,OUT,,Y,BLEND REPAIR,SRM 57-20-01 Repair 1,,,,,,,Y,,mm,,mm,4.7,mm,CAT-A,N,
PH-HSG,,5762054-1 (Panel 532GB),WO 5762054,8/3/2022,57,20,WING LH,,,,,,,,,,,,,,,,,,CORROSION,,,OUT,,Y,BLEND REPAIR,SRM 57-20-01 Repair 1,,,,,,,Y,,mm,,mm,4.58,mm,CAT-A,N,
PH-HSG,,5762054-1 (Panel 532HB),WO 5762054,8/3/2022,57,20,WING LH,,,,,,,,,,,,,,,,,,CORROSION,,,OUT,,Y,BLEND REPAIR,SRM 57-20-01 Repair 1,,,,,,,Y,,mm,,mm,4.32,mm,CAT-A,N,
PH-HSG,,5762054-1 (Panel 532JB),WO 5762054,8/3/2022,57,20,WING LH,,,,,,,,,,,,,,,,,,CORROSION,,,OUT,,Y,BLEND REPAIR,SRM 57-20-01 Repair 1,,,,,,,Y,,mm,,mm,4.72,mm,CAT-A,N,
PH-HSG,,5762054-1 (Panel 532KB),WO 5762054,8/3/2022,57,20,WING LH,,,,,,,,,,,,,,,,,,CORROSION,,,OUT,,Y,BLEND REPAIR,SRM 57-20-01 Repair 1,,,,,,,Y,,mm,,mm,4.41,mm,CAT-A,N,
PH-HSG,,5762054-1 (Panel 532LB),WO 5762054,8/3/2022,57,20,WING LH,,,,,,,,,,,,,,,,,,CORROSION,,,OUT,,Y,BLEND REPAIR,SRM 57-20-01 Repair 1,,,,,,,Y,,mm,,mm,4.65,mm,CAT-A,N,
PH-HSG,,5762054-1 (Panel 532MB),WO 5762054,8/3/2022,57,20,WING LH,,,,,,,,,,,,,,,,,,CORROSION,,,OUT,,Y,BLEND REPAIR,SRM 57-20-01 Repair 1,,,,,,,Y,,mm,,mm,4.03,mm,CAT-A,N,
PH-HSG,,5762054-1 (Panel 532NB),WO 5762054,8/3/2022,57,20,WING LH,,,,,,,,,,,,,,,,,,CORROSION,,,OUT,,Y,BLEND REPAIR,SRM 57-20-01 Repair 1,,,,,,,Y,,mm,,mm,3.96,mm,CAT-A,N,
PH-HSG,,5762054-1 (Panel 532PB),WO 5762054,8/3/2022,57,20,WING LH,,,,,,,,,,,,,,,,,,CORROSION,,,OUT,,Y,BLEND REPAIR,SRM 57-20-01 Repair 1,,,,,,,Y,,mm,,mm,3.98,mm,CAT-A,N,
PH-HSG,,5762054-1 (Panel 532QB),WO 5762054,8/3/2022,57,20,WING LH,,,,,,,,,,,,,,,,,,CORROSION,,,OUT,,Y,BLEND REPAIR,SRM 57-20-01 Repair 1,,,,,,,Y,,mm,,mm,4.09,mm,CAT-A,N,
PH-HSG,,5762055-1 (Panel 632FB),WO 5762055,8/3/2022,57,20,WING RH,,,,,,,,,,,,,,,,,,CORROSION,,,OUT,,Y,BLEND REPAIR,SRM 57-20-01 Repair 1,,,,,,,Y,,mm,,mm,3.9,mm,CAT-A,N,
PH-HSG,,5762055-1 (Panel 632GB),WO 5762055,8/3/2022,57,20,WING RH,,,,,,,,,,,,,,,,,,CORROSION,,,OUT,,Y,BLEND REPAIR,SRM 57-20-01 Repair 1,,,,,,,Y,,mm,,mm,4.6,mm,CAT-A,N,
PH-HSG,,5762055-1 (Panel 632HB),WO 5762055,8/3/2022,57,20,WING RH,,,,,,,,,,,,,,,,,,CORROSION,,,OUT,,Y,BLEND REPAIR,SRM 57-20-01 Repair 1,,,,,,,Y,,mm,,mm,4.3,mm,CAT-A,N,
PH-HSG,,5762055-1 (Panel 632KB),WO 5762055,8/3/2022,57,20,WING RH,,,,,,,,,,,,,,,,,,CORROSION,,,OUT,,Y,BLEND REPAIR,SRM 57-20-01 Repair 1,,,,,,,Y,,mm,,mm,4.2,mm,CAT-A,N,
PH-HSG,,5762055-1 (Panel 632LB),WO 5762055,8/3/2022,57,20,WING RH,,,,,,,,,,,,,,,,,,CORROSION,,,OUT,,Y,BLEND REPAIR,SRM 57-20-01 Repair 1,,,,,,,Y,,mm,,mm,4.3,mm,CAT-A,N,
PH-HSG,,5762055-1 (Panel 632MB),WO 5762055,8/3/2022,57,20,WING RH,,,,,,,,,,,,,,,,,,CORROSION,,,OUT,,Y,BLEND REPAIR,SRM 57-20-01 Repair 1,,,,,,,Y,,mm,,mm,3.2,mm,CAT-A,N,
PH-HSG,,5762055-1 (Panel 632NB),WO 5762055,8/3/2022,57,20,WING RH,,,,,,,,,,,,,,,,,,CORROSION,,,OUT,,Y,BLEND REPAIR,SRM 57-20-01 Repair 1,,,,,,,Y,,mm,,mm,3.7,mm,CAT-A,N,
PH-HSG,,5762055-1 (Panel 632PB),WO 5762055,8/3/2022,57,20,WING RH,,,,,,,,,,,,,,,,,,CORROSION,,,OUT,,Y,BLEND REPAIR,SRM 57-20-01 Repair 1,,,,,,,Y,,mm,,mm,3.5,mm,CAT-A,N,
PH-HSG,,5762055-1 (Panel 632QB),WO 5762055,8/3/2022,57,20,WING RH,,,,,,,,,,,,,,,,,,CORROSION,,,OUT,,Y,BLEND REPAIR,SRM 57-20-01 Repair 1,,,,,,,Y,,mm,,mm,3.8,mm,CAT-A,N,
PH-HSG,,5762244-1,WO 5762244,8/3/2022,53,40,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Panel 193D
PH-HSG,,5762381-1,WO 5762381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH-HSG,,5762383-1,WO 5762383,9/3/2022,54,,NAC LH,,,,,,,,,,,,,,,,,,CRACK,315A2295-245,4597,OUT,,Y,,737-SL-78-050,2.9,mm,,mm,,mm,,,,,,,,CAT-A,N,
PH-HSI,,WO 6007586-1,SDR_033,11/2/2023,57,42,WING LH,,SLAT-1,,,,,,,,,,,,,,,,DENT,114A5010-207,4499,IN,SRM 57-42-01-1A-1 para 4.B.3 fig 105 det G and table 101 Rev 77,N,DENT (IN LIMITS),,9.4,mm,8.4,mm,0.02,mm,,,,,,,,,,"TE wedge upper surface, 1175mm from IB edge, 82mm from aft edge."
PH-HSI,,WO 6007586-1,SDR_033,11/2/2023,57,42,WING LH,,SLAT-1,,,,,,,,,,,,,,,,DENT,114A5010-207,4499,IN,SRM 57-42-01-1A-1 para 4.B.3 fig 105 det G and table 101 Rev 77,N,DENT (IN LIMITS),,13.9,mm,12.8,mm,0.03,mm,,,,,,,,,,"TE wedge upper surface, 1210mm from IB edge, 99mm from aft edge."
PH-HSI,,WO 6007586-1,SDR_033,11/2/2023,57,42,WING LH,,SLAT-1,,,,,,,,,,,,,,,,DENT,114A5010-207,4499,IN,SRM 57-42-01-1A-1 para 4.B.3 fig 105 det G and table 101 Rev 77,N,DENT (IN LIMITS),,11.2,mm,10,mm,0.04,mm,,,,,,,,,,"TE wedge upper surface, 1230mm from IB edge, 76mm from aft edge."
PH-HSI,,WO 6007586-1,SDR_033,11/2/2023,57,42,WING LH,,SLAT-1,,,,,,,,,,,,,,,,DENT,114A5010-207,4499,IN,SRM 57-42-01-1A-1 para 4.B.3 fig 105 det G and table 101 Rev 77,N,DENT (IN LIMITS),,35.4,mm,17.7,mm,0.06,mm,,,,,,,,,,"TE wedge upper surface, 1442mm from IB edge, 117mm from aft edge."
PH-HSI,,WO 6007599-1,SDR_034,11/2/2023,57,42,WING RH,,SLAT-6,,,,,,,,,,,,,,,,WRINKLE,114A5030-208,4789,OUT,,Y,DENT (IN LIMITS),RDR as per Boeing SR 4-5711328227,51,mm,12,mm,0.6,mm,,,,,,,,CAT-A,N,"Nose skin, 404mm from TE, 1610mm from IB edge of slat."
PH-HSI,,WO 6007261-1,SDR_035,11/2/2023,53,0,43,43,500B,185,mm,500C,,,S-25R,,,S-26R,-53,mm,,,,,NICK,,,OUT,,Y,BLEND REPAIR,SRM 53-00-01-1A-5 AD5 para 4A2 det C fig 103 Rev 77,,,,,,,Y,38,mm,38,mm,1.67,mm,CAT-A,N,
PH-HSI,,WO 6007290-1,SDR_036,11/2/2023,53,0,43,43,460,,,480,,,S-27L,,,S-28L,,,,,,,NICK,,,OUT,,Y,BLEND REPAIR,SRM 53-00-01-1A-5 AD5 para 4A2 det C fig 103 Rev 77,,,,,,,Y,30,mm,30,mm,1.66,mm,CAT-A,N,
PH-HSI,,WO 6007396-1,SDR_037,12/2/2023,53,0,48,48,1016,95,mm,,,,S-14L,-18,mm,,,,,,,,DENT,,,IN,SRM 53-00-01-1A-1 AD1 para C3B det G fig 103 table 102 Rev 77,N,DENT (IN LIMITS),,55,mm,45,mm,0.22,mm,,,,,,,,,,
PH-HSI,,WO 6007396-1,SDR_037,12/2/2023,53,0,48,48,1016,218,mm,,,,S-14L,-22,mm,,,,,,,,DENT,,,IN,SRM 53-00-01-1A-1 AD1 para C3B det G fig 103 table 102 Rev 77,N,DENT (IN LIMITS),,30,mm,26,mm,0.16,mm,,,,,,,,,,
PH-HSI,,WO 6007018-1,SDR_038,12/2/2023,53,0,47,47,927,145,mm,,,,S-21L,-75,mm,,,,,,,,GOUGE,,,OUT,,Y,BLEND REPAIR,SRM 53-00-01-1A AD1 para 4B2 det C fig 104 Rev 77,,,,,,,Y,70,mm,140,mm,1.74,mm,CAT-A,N,
PH-HSI,,WO 6007765-1,SDR_039,12/2/2023,55,10,HOR STAB R,HOR STAB R,HSTA111.10,,,HSTA193.90,,,,,,,,,,,,,CORROSION,186A1000-45,566,OUT,,Y,TRIM OUT,SRM 55-10-13 rep 3 zone A table 201 Rev 77,N/A,,6.3,mm,N/A,,,,,,,,,CAT-A,N,"Hole 1, 3rd anchor nut hole OB from EL sta 66.54 aft chord, fwd flange"
PH-HSI,,WO 6007765-1,SDR_039,12/2/2023,55,10,HOR STAB R,HOR STAB R,HSTA111.10,,,HSTA193.90,,,,,,,,,,,,,CORROSION,186A1000-45,566,OUT,,Y,TRIM OUT,SRM 55-10-13 rep 3 zone A table 201 Rev 77,N/A,,6.33,mm,N/A,,,,,,,,,CAT-A,N,"Hole 2, 4th anchor nut hole OB from EL sta 66.54 aft chord, fwd flange"
PH-HSI,,WO 6007765-1,SDR_039,12/2/2023,55,10,HOR STAB R,HOR STAB R,HSTA111.10,,,HSTA193.90,,,,,,,,,,,,,CORROSION,186A1000-45,566,OUT,,Y,FREEZE PLUG,SRM 55-10-13 rep 3 zone A table 201 Rev 77,N/A,,7.1,mm,N/A,,,,,,,,,CAT-A,N,"Hole 3, 2nd anchor nut hole IB from EL sta 121.59 aft chord, fwd flange"
PH-HSI,,WO 6007765-1,SDR_039,12/2/2023,55,10,HOR STAB R,HOR STAB R,HSTA111.10,,,HSTA193.90,,,,,,,,,,,,,CORROSION,186A1000-45,566,OUT,,Y,FREEZE PLUG,SRM 55-10-13 rep 3 zone A table 201 Rev 77,N/A,,7.1,mm,N/A,,,,,,,,,CAT-A,N,"Hole 4, 2nd anchor nut hole OB from EL sta 121.59 aft chord, fwd flange"
PH-HSI,,WO 6007765-1,SDR_039,12/2/2023,55,10,HOR STAB R,HOR STAB R,HSTA111.10,,,HSTA193.90,,,,,,,,,,,,,CORROSION,186A1000-45,566,OUT,,Y,FREEZE PLUG,SRM 55-10-13 rep 3 zone A table 201 Rev 77,N/A,,8.34,mm,N/A,,,,,,,,,CAT-A,N,"Hole 5, 3rd anchor nut hole OB from EL sta 121.59 aft chord, fwd flange"
PH-HSI,,WO 6007765-1,SDR_039,12/2/2023,55,10,HOR STAB R,HOR STAB R,HSTA111.10,,,HSTA193.90,,,,,,,,,,,,,CORROSION,186A1000-45,566,OUT,,Y,FREEZE PLUG,SRM 55-10-13 rep 3 zone A table 201 Rev 77,N/A,,6.67,mm,N/A,,,,,,,,,CAT-A,N,"Hole 6, 4th anchor nut hole OB from EL sta 121.59 aft chord, fwd flange"
PH-HSI,,WO 6007765-1,SDR_039,12/2/2023,55,10,HOR STAB R,HOR STAB R,HSTA111.10,,,HSTA193.90,,,,,,,,,,,,,CORROSION,186A1000-45,566,OUT,,Y,FREEZE PLUG,SRM 55-10-13 rep 3 zone A table 201 Rev 77,N/A,,6.68,mm,N/A,,,,,,,,,CAT-A,N,"Hole 8, 7th anchor nut hole OB from EL sta 121.59 aft chord, fwd flange"
PH-HSI,,WO 6007765-1,SDR_039,12/2/2023,55,10,HOR STAB R,HOR STAB R,HSTA111.10,,,HSTA193.90,,,,,,,,,,,,,CORROSION,186A1000-45,566,OUT,,Y,FREEZE PLUG,SRM 55-10-13 rep 3 zone A table 201 Rev 77,N/A,,6.67,mm,N/A,,,,,,,,,CAT-A,N,"Hole 9, 8th anchor nut hole OB from EL sta 121.59 aft chord, fwd flange"
PH-HSI,,WO 6007817-1,SDR_040,2/14/2023,57,53,WING RH,,FLAP-AFT-OB,,,,,,,,,,,,,,,,DENT,113A3700-28,5308,IN,SRM 57-53-01-1A-5 para 4.A.3 Rev 77,N,DENT (IN LIMITS),,17,mm,15,mm,0.12,mm,,,,,,,,,,"Lower skin, 3220mm from IB side, 160mm from TE."
PH-HSI,,WO 6007954-1,SDR_041,2/14/2023,52,30,46,46,809350,,,818400,,,DOOR-CRG-E,,,,,,,,,,CORROSION,146A6110-33,PMC-00051,OUT,,Y,BLEND REPAIR,SRM 52-30-01-1A-1 AD 1 para 4B fig 104 det C Rev 77,,,,,,,Y,20,mm,30,mm,1.87,mm,CAT-A,N,
PH-HSI,,WO 6007767-1,SDR_042,2/14/2023,57,53,WING LH,WING LH,FLAP-MN-IN,,,,,,,,,,,,,,,,DELAM,113A2100-69,169,OUT,,Y,COMPOSITE REPAIR,SRM 57-53-01 repair 1 by SRM 51-70-10 repair 4 Rev 71,390,mm,115,mm,N/A,,,,,,,,,CAT-A,N,TE wedge lower surface
PH-HSI,,WO 6008114-1,SDR_043,2/14/2023,53,40,44,,706,,,,,,,,,,,,,,,,CHAFING,149A7655-13,,OUT,,Y,COMPOSITE REPAIR,SRM 53-40-70repair 1 by SRM 51-70-05 repair 6 Rev 77,,,,,,,,,,,,,,CAT-A,N,WTF panel 193AL inner surface
PH-HSI,,WO 6008111-1,SDR_044,2/14/2023,57,51,WING RH,,,,,,,,,,,,,,,,,,CHAFING,115A5251-10,,OUT,,Y,COMPOSITE REPAIR,SRM 57-51-01 repair 1 by SRM 51-70-04 repair 9 Rev 77,,,,,,,,,,,,,,CAT-A,N,"Panel 651BT, IB edge aft corner"
PH-HSI,,WO 6001628-1,SDR_045,2/14/2023,53,30,41,,291.5,,,,,,S-11R ,-60,Inch,,,,,,,,L-STRIKE,,,OUT,,Y,FASTENER REPLACEMENT,SRM 53-00-01-2R-41 Rep 41 Rev 77,N/A,,N/A,,N/A,,,,,,,,,CAT-B,N,
PH-HSI,,WO 6008130-1,SDR_046,2/14/2023,53,40,44,,,,,,,,,,,,,,,,,,CRACK,149A7359-1,RD1211854,OUT,,Y,COMPOSITE REPAIR,SRM 53-40-70 repair 1 table 202 by SRM 51-70-05 repair 6 Rev 77, ,,,,,,,,,,,,,CAT-A,N,"Panel 195CL, aft corner"
PH-HSI,,WO 6008127-1,SDR_047,2/14/2023,53,40,44,,,,,,,,,,,,,,,,,,CRACK,149A7359-2,RD1211851,OUT,,Y,COMPOSITE REPAIR,SRM 53-40-70 repair 1 table 202 by SRM 51-70-05 repair 6 Rev 77,,,,,,,,,,,,,,CAT-A,N,"Panel 195CR, aft corner"
PH-HSI,,WO 6008112-1,SDR_048,2/14/2023,53,40,44,,,,,,,,,,,,,,,,,,CHAFING,149A7653-5,,OUT,,Y,COMPOSITE REPAIR,SRM 53-40-70 repair 1 table 202 by SRM 51-70-05 repair 6 Rev 77,,,,,,,,,,,,,,CAT-A,N,Panel 193D holes on aft edge LH
PH-HSI,,WO 6008112-1,SDR_048,2/14/2023,53,40,44,,,,,,,,,,,,,,,,,,CHAFING,149A7653-5,,OUT,,Y,COMPOSITE REPAIR,SRM 53-40-70 repair 1 table 202 by SRM 51-70-05 repair 8 Rev 77,,,,,,,,,,,,,,CAT-A,N,Panel 193D holes on aft edge RH
PH-HSI,,WO 6001627-1,SDR_049,2/14/2023,53,30,41,,291.5,,,,,,S-11R ,-35,mm,,,,,,,,L-STRIKE,,,OUT,,Y,FASTENER REPLACEMENT,SRM 53-00-01-2R-41 table 204 Rev 77,N/A,,N/A,,N/A,,,,,,,,,CAT-B,N,
PH-HSI,,WO 6001730-1,SDR_050,2/14/2023,53,30,41,,259.5,35,mm,,,,S-11R ,-70,mm,,,,,,,,L-STRIKE,,,OUT,,Y,FASTENER REPLACEMENT,SRM 53-00-01-2R-38 Repair 38 Rev 77,N/A,,N/A,,N/A,,,,,,,,,CAT-A,N,
PH-HSI,,WO 6007718-1,SDR_051,2/14/2023,57,70,WING RH,,SPOILER-9,,,,,,,,,,,,,,,,DENT,113A4400-6,31958,OUT,,Y,DOUBLER,RDR as per Boeing SR 4-5717448734,,,,,,,,,,,,,,CAT-A,N,"Lower surface, 262mm from Fwd edge, 270mm from IB edge."
PH-HSI,,WO 6001629-1,SDR_052,2/15/2023,53,30,43,,492.4,,,,,,S-17R,50,mm,,,,,,,,L-STRIKE,,,OUT,,Y,FASTENER REPLACEMENT,SRM 53-00-01-2R repair 41 Rev 77,N/A,,N/A,,N/A,,,,,,,,,CAT-A,N,
PH-HSI,,WO 6007810-1,SDR_053,2/15/2023,57,53,WING LH,,FLAP-AFTIN ,,,,,,,,,,,,,,,,WEAR,113A2700-27,183,OUT,,Y,BLEND REPAIR,SRM 57-53-02-1A-1 rev 77,,,,,,,Y, ,,150,mm,0.82 depth,mm,CAT-A,N,"IB aft flap track, edge of flange"
PH-HSI,,WO 6007810-1,SDR_054,2/15/2023,57,53,WING LH,,FLAP-AFTIN ,,,,,,,,,,,,,,,,WEAR,113A2700-27,183,OUT,,Y,BLEND REPAIR,SRM 57-53-02-1A-1 rev 77,,,,,,,Y, ,,150,mm,0.83 depth,mm,CAT-A,N,"OB aft flap track, edge of flange"
PH-HSI,,WO 6007820-1,SDR_055,2/15/2023,57,53,WING RH,,FLAP-AFT-IN ,,,,,,,,,,,,,,,,WEAR,113A2700-28,184,OUT,,Y,BLEND REPAIR,SRM 57-53-02-1A-1 rev 77,,,,,,,Y,,,159,mm,1.14 depth,mm,CAT-A,N,"IB aft flap track, edge of flange"
PH-HSI,,WO 6007820-1,SDR_056,2/15/2023,57,53,WING RH,,FLAP-AFT-IN ,,,,,,,,,,,,,,,,WEAR,113A2700-28,184,OUT,,Y,BLEND REPAIR,SRM 57-53-02-1A-1 rev 77,,,,,,,Y,,,159,mm,0.84 depth,mm,CAT-A,N,"OB aft flap track, edge of flange"
PH-HSI,,WO 6001721-1,SDR_057,2/15/2023,53,30,43,,500B,150,mm,,,,S-7L,73,mm,,,,,,,,L-STRIKE,,,OUT,,Y,FASTENER REPLACEMENT,SRM 53-00-01-2R-38 Rep 38 Rev 77,N/A,,N/A,,N/A,,,,,,,,,CAT-A,N,
PH-HSI,,WO 6001723-1,SDR_058,2/15/2023,53,30,43,,400,115,mm,,,,S-18R,16,mm,,,,,,,,L-STRIKE,,,OUT,,Y,FASTENER REPLACEMENT,SRM 53-00-01-2R-38 Rep 38 Rev 77,N/A,,N/A,,N/A,,,,,,,,,CAT-A,N,
PH-HSI,,WO 6001728-1,SDR_059,2/15/2023,53,30,43,,420,,,,,,S-17R,45,mm,,,,,,,,L-STRIKE,,,OUT,,Y,FASTENER REPLACEMENT,SRM 53-00-01-2R-41 Rep 41 Rev 77,N/A,,N/A,,N/A,,,,,,,,,CAT-B,N,
PH-HSI,,WO 6001725-1,SDR_060,2/15/2023,53,30,43,,440,-80,mm,,,,S-17R, ,,,,,,,,,L-STRIKE,,,OUT,,Y,FASTENER REPLACEMENT,SRM 53-00-01-2R-41 Rep 41 Rev 77,N/A,,N/A,,N/A,,,,,,,,,CAT-B,N,
PH-HSI,,WO 6001726-1,SDR_061,2/15/2023,53,30,43,,500A, ,,,,,S-16R,35,mm,,,,,,,,L-STRIKE,,,OUT,,Y,FASTENER REPLACEMENT,SRM 53-00-01-2R-41 Rep 41 Rev 77,N/A,,N/A,,N/A,,,,,,,,,CAT-B,N,
PH-HSI,,WO 6001727-1,SDR_062,2/15/2023,53,30,43,,500B,-30,mm,,,,S-16R, ,,,,,,,,,L-STRIKE,,,OUT,,Y,FASTENER REPLACEMENT,SRM 53-00-01-2R-41 Rep 41 Rev 77,N/A,,N/A,,N/A,,,,,,,,,CAT-B,N,
PH-HSI,,WO 6001729-1,SDR_063,2/16/2023,53,30,43,,500F,-220,mm,,,,S-14R,,,,,,,,,,L-STRIKE,,,OUT,,Y,FASTENER REPLACEMENT,SRM 53-00-01-2R-41 Rep 41 Rev 77,N/A,,N/A,,N/A,,,,,,,,,CAT-A,N,57mm from lapjoint
PH-HSI,,WO 6001732-1,SDR_064,2/16/2023,53,30,46,,727D,-3.5,mm,,,,S-17R,,,,,,,,,,L-STRIKE,,,OUT,,Y,FASTENER REPLACEMENT,SRM 53-00-01-2R-41 Rep 41 Rev 77,N/A,,N/A,,N/A,,,,,,,,,CAT-A,N, 
PH-HSI,,WO 6007805-1,SDR_065,2/17/2023,55,10,HOR STAB R,,EL-121.59,,,,,,,,,,,,,,,,CORROSION,186A2000-45,566,OUT,,Y,BLEND REPAIR,Form 8100-9 as per Boeing SR 4-5713251554, ,, ,, ,,Y,6.21,mm,,,,,CAT-B,N,TE structure-hinge rib at ESTA 121.59 3rd anchor nut from Fwd end of rib IB flange.
PH-HSI,,WO 6007803-1,SDR_066,2/17/2023,55,10,HOR STAB R,,EL-66.54,,,,,,,,,,,,,,,,CORROSION,186A2000-45,566,OUT,,Y,FREEZE PLUG,Form 8100-9 as per Boeing SR 4-5713251554,N/A,,7.08,mm,N/A,,,,,,,,,CAT-B,N,TE structure-hinge rib at ESTA 66.54 3rd anchor nut from Fwd end of rib OB flange.
PH-HSI,,WO 6007821-1,SDR_067,12/2/2023,55,10,HOR STAB L,,EL-149.12,,,,,,,,,,,,,,,,CORROSION,186A1000-45,566,OUT,,Y,FREEZE PLUG,Form 8100-9 as per boeing SR 4-5713347329,N/A,,8.66,mm,N/A,,,,,,,,,CAT-A,N,TE structure-hinge rib at ESTA 149.12 fwd anchor nut from Fwd end of rib IB flange.
PH-HSI,,WO 6008084-1,SDR_068,2/17/2023,55,10,HOR STAB R,,EL-149.12,,,,,,,,,,,,,,,,CORROSION,186A2000-45,566,OUT,,Y,FREEZE PLUG,RDR as per Boeing SR 4-5713251896,N/A,,7.1,mm,N/A,,,,,,,,,CAT-A,N,TE structure-hinge rib at ESTA 149.12 fwd anchor nut from Fwd end of rib OB flange.
PH-HSI,,WO 6007807-1,SDR_069,2/17/2023,55,10,HOR STAB R,HOR STAB R,EL-121.59,,,EL-149.12,,,,,,,,,,,,,CORROSION,186A2000-45,566,OUT,,Y,FREEZE PLUG,SRM 55-10-13 Rep 3 zone A table 201 Rev 77,N/A,,7.13,mm,N/A,,,,,,,,,CAT-A,N,"TE structure-aft beam fwd flange, 2nd anchor nut OB of ESTA 121.59"
PH-HSI,,WO 6007807-1,SDR_069,2/17/2023,55,10,HOR STAB R,HOR STAB R,EL-121.59,,,EL-149.12,,,,,,,,,,,,,CORROSION,186A2000-45,566,OUT,,Y,FREEZE PLUG,SRM 55-10-13 Rep 3 zone A table 201 Rev 77,N/A,,7.11,mm,N/A,,,,,,,,,CAT-A,N,"TE structure-aft beam fwd flange, 5th anchor nut OB of ESTA 121.59"
PH-HSI,,WO 6007804-1,SDR_070,12/2/2023,55,10,HOR STAB L,,EL-121.59,,,,,,,,,,,,,,,,CORROSION,186A1000-45,566,OUT,,Y,BLEND REPAIR,Form 8100-9 as per Boeing SR 4-5713347515,,,,,,,Y,6.3,mm,,,,,CAT-B,N,TE structure-hinge rib at ESTA 121.59 2nd anchor nut from aft end of rib IB flange.
PH-HSI,,WO 6007561-1,SDR_071,2/19/2023,57,41,WING LH,,KRUE-1,,,,,,,,,,,,,,,,WEAR,,,OUT,,Y,FASTENER REPLACEMENT,SRM 57-41-01-2R-7 rep 7 Rev 77,N/A,,N/A,,N/A,,,,,,,,,CAT-A,N,OB edge of wing leading edge below krueger no 1 seal rib.
PH-HSI,,WO 6007585-1,SDR_072,2/20/2023,57,41,WING RH,,,,,,,,,,,,,,,,,,WEAR,116A4412-6,,OUT,,Y,BLEND REPAIR,RDR as per Boeing SR 4-5726384794,,,,,,,Y,40,mm,480,mm,1.17,mm,CAT-A,N,Upper skin under access panel 441CL
PH-HSI,,WO 6000833-1,SDR_073,2/21/2023,53,10,46,,807,,,,,,,,,,,,,,,,DENT,,,OUT,,Y,,SRM 53-60-15 para 4.C Rev 77,,,,,,,,,,,,,,CAT-A,N,Aft cargo door middle scuff plate fwd end og leading edge
PH-HSI,,WO 6009190-1,SDR_074,2/22/2023,57,20,WING LH,,,,,,,,,,,,,,,,,,GOUGE,,,OUT,,Y,BLEND REPAIR,SRM 57-20-01-2R-1 fig 202 Rev 77,,,,,,,Y,N/A,,24.6,mm,0.09,mm,CAT-A,N,Edge of fuel access hole for panel 532HB
PH-HSI,,WO 6009190-1,SDR_074,2/22/2023,57,20,WING LH,,,,,,,,,,,,,,,,,,GOUGE,,,OUT,,Y,BLEND REPAIR,SRM 57-20-01-2R-1 fig 202 Rev 77,,,,,,,Y,N/A,,38,mm,0.22,mm,CAT-A,N,Edge of fuel access hole for panel 532HB
PH-HSI,,WO 6009190-1,SDR_074,2/22/2023,57,20,WING LH,,,,,,,,,,,,,,,,,,GOUGE,,,OUT,,Y,BLEND REPAIR,SRM 57-20-01-2R-1 fig 202 Rev 77,,,,,,,Y,N/A,,52,mm,0.27,mm,CAT-A,N,Edge of fuel access hole for panel 532HB
PH-HSI,,WO 6009190-1,SDR_074,2/22/2023,57,20,WING LH,,,,,,,,,,,,,,,,,,GOUGE,,,OUT,,Y,BLEND REPAIR,SRM 57-20-01-2R-1 fig 202 Rev 77,,,,,,,Y,N/A,,13.2,mm,0.05,mm,CAT-A,N,Edge of fuel access hole for panel 532HB
PH-HSI,,WO 6009192-1,SDR_075,2/22/2023,57,20,WING LH,,,,,,,,,,,,,,,,,,GOUGE,,,OUT,,Y,BLEND REPAIR,SRM 57-20-01-2R-1 fig 202 Rev 77,,,,,,,Y,N/A,,38,mm,0.12,mm,CAT-A,N,Edge of fuel access hole for panel 534BB
